SYMBL,NAME,INDUSTRY,MIN_MOUNT,UNIT,FRATE
2681,ゲオホールディングス,小売業,"130,800",100,2.65
2685,アダストリア,小売業,"243,700",100,1.04
2686,ジーフット,小売業,"62,000",100,0.45
2687,シー・ヴイ・エス・ベイエリア,小売業,"67,300",100,5.22
2689,カワニシホールディングス,卸売業,"131,000",100,36.8
2692,伊藤忠食品,卸売業,"452,500",100,1.29
2694,ジー・テイスト,小売業,"7,500",100,1.06
2695,くら寿司,小売業,"449,000",100,1.04
2698,キャンドゥ,小売業,"165,000",100,0.11
2702,日本マクドナルドホールディングス,小売業,"522,000",100,0.6
2715,エレマテック,卸売業,"104,400",100,2.02
2722,アイケイ,小売業,"42,300",100,62.91
2726,パルグループホールディングス,小売業,"337,000",100,17.31
2729,ＪＡＬＵＸ,卸売業,"237,800",100,0.18
2730,エディオン,小売業,"104,100",100,0.85
2733,あらた,卸売業,"395,500",100,0.34
2734,サーラコーポレーション,小売業,"62,000",100,5.94
2735,ワッツ,小売業,"61,800",100,0.54
2742,ハローズ,小売業,"227,400",100,0.74
2749,ＪＰホールディングス,サービス業,"27,100",100,0.56
2751,テンポスホールディングス,卸売業,"213,700",100,0.74
2752,フジオフードシステム,小売業,"297,700",100,6
2753,あみやき亭,小売業,"345,500",100,0.78
2760,東京エレクトロン　デバイス,卸売業,"209,200",100,1.57
2763,エフティグループ,卸売業,"141,800",100,28.78
2764,ひらまつ,小売業,"33,900",100,10.16
2767,フィールズ,卸売業,"51,100",100,124.86
2768,双日,卸売業,"33,700",100,3.5
2778,パレモ・ホールディングス,小売業,"30,900",100,335.25
2782,セリア,小売業,"261,100",100,11.47
2784,アルフレッサ　ホールディングス,卸売業,"245,200",100,1.17
2791,大黒天物産,小売業,"344,000",100,8.09
2792,ハニーズホールディングス,小売業,"151,600",100,0.19
2796,ファーマライズホールディングス,小売業,"59,200",100,1.19
2801,キッコーマン,食料品,"518,000",100,1.36
2802,味の素,食料品,"205,550",100,2.43
2804,ブルドックソース,食料品,"111,200",100,3.13
2809,キユーピー,食料品,"256,500",100,0.95
2810,ハウス食品グループ本社,食料品,"407,500",100,0.88
2811,カゴメ,食料品,"278,500",100,2.01
2812,焼津水産化学工業,食料品,"105,000",100,1.93
2815,アリアケジャパン,食料品,"866,000",100,0.14
2816,ダイショー,食料品,"119,600",100,1.34
2819,エバラ食品工業,食料品,"213,300",100,2.41
