 発表日, 時刻, 決算, 連単, コード, 銘柄, 市場, 業種, 時価総額
 12/17, -, 2Q, 連,2678, アスクル, 東1, 小売業," 1,642"
 12/17, -, 本, 単,8956, プレミア投, 東証, ETF・REIT等," 2,032"
 12/18, -, 本, 連,2315, カイカ, JQ, 情報・通信業, 97
 12/18, -, 2Q, 連,3391, ツルハHD, 東1, 小売業," 6,320"
 12/18, -, 2Q, 連,6905, コーセル, 東1, 電気機器, 472
 12/19, -, 本, 単,3308, 日ヘルスケア, 東証, ETF・REIT等, 153
 12/20, -, 2Q, 連,3544, サツドラHD, 東1, 小売業, 85
 12/23, -, 2Q, 連,3160, 大　光, 東1, 卸売業, 92
 12/23, -, 3Q, 単,3333, あさひ, 東1, 小売業, 344
 12/24, -, 3Q, 連,2925, ピックルス, 東1, 食料品, 187
 12/24, -, 1Q, 単,3174, ハピネス&D, JQ, 小売業, 26
 12/24, -, 1Q, 単,6196, ストライク, 東1, サービス業, 809
 12/24, -, 3Q, 連,8227, しまむら, 東1, 小売業," 3,355"
 12/25, 15:30, 本, 連,7965, 象　印, 東1, 電気機器," 1,338"
 12/25, -, 1Q, 連,3035, ＫＴＫ, JQ, 卸売業, 23
 12/25, -, 3Q, 連,7624, NaITO, JQ, 卸売業, 119
 12/25, -, 3Q, 連,7630, 壱番屋, 東1, 小売業," 1,759"
 12/25, -, 3Q, 連,8251, パルコ, 東1, 小売業," 1,359"
 12/26, 15:00, 本, 連,6664, オプトエレクト, JQ, 電気機器, 41
 12/26, 15:00, 3Q, 単,7611, ハイデ日高, 東1, 小売業, 844
 12/26, -, 3Q, 連,2354, YE DIGIT, 東2, 情報・通信業, 101
 12/26, -, 1Q, 連,2484, 出前館, JQ, 情報・通信業, 474
 12/26, -, 3Q, 連,2778, パレモ・HD, 東2, 小売業, 39
 12/26, -, 3Q, 連,3086, Jフロント, 東1, 小売業," 4,037"
 12/26, -, 2Q, 連,3321, ミタチ, 東1, 卸売業, 60
 12/26, -, 2Q, 連,4465, ニイタカ, 東1, 化学, 105
 12/26, -, 2Q, 連,4825, WNIウェザー, 東1, 情報・通信業, 405
 12/26, -, 3Q, 連,6279, 瑞  光, 東2, 機械, 278
 12/26, -, 1Q, 連,7447, ナガイレーベ, 東1, 卸売業," 1,006"
 12/26, -, 3Q, 連,7649, スギＨＤ, 東1, 小売業," 3,800"
 12/26, -, 2Q, 連,7921, TAKARA&C, 東1, その他製品, 222
 12/26, -, 3Q, 連,8217, オークワ, 東1, 小売業, 670
 12/26, -, 3Q, 連,8233, 高島屋, 東1, 小売業," 2,290"
 12/26, -, 3Q, 連,8276, 平和堂, 東1, 小売業," 1,227"
 12/26, -, 3Q, 単,9976, セキチュー, JQ, 小売業, 69
 12/26, -, 3Q, 連,9982, タキヒヨー, 東1, 卸売業, 190
 12/27, -, 3Q, 連,2186, ソーバル, JQ, サービス業, 102
 12/27, -, 3Q, 連,2685, アダストリア, 東1, 小売業," 1,260"
 12/27, -, 3Q, 単,2742, ハローズ, 東1, 小売業, 550
 12/27, -, 2Q, 連,2761, トシンＧ, JQ, 卸売業, 770
 12/27, -, 3Q, 連,3050, ＤＣＭ, 東1, 小売業," 1,519"
 12/27, -, 本, 連,3089, テクノアルファ, JQ, 卸売業, 25
 12/27, -, 3Q, 連,3919, パイプドH, 東1, 情報・通信業, 135
 12/27, -, 2Q, 連,6083, ERI HD, 東1, サービス業, 61
 12/27, -, 1Q, 連,7514, ヒマラヤ, 東1, 小売業, 103
 12/27, -, 3Q, 単,8166, タカキュー, 東1, 小売業, 47
 12/27, -, 3Q, 単,8168, ケーヨー, 東1, 小売業, 358
 12/27, -, 2Q, 連,9651, 日プロセス, JQ, 情報・通信業, 99
 12/27, -, 3Q, 連,9843, ニトリHD, 東1, 小売業," 20,016"
 12/27, -, 本, 連,9872, 北  恵, 東1, 卸売業, 97
 1/6, -, 2Q, 連,1376, カネコ種, 東1, 水産・農林業, 176
 1/6, -, 3Q, 連,1712, ダイセキソリュ, 東1, 建設業, 167
 1/6, -, 3Q, 連,2305, スタジオアリス, 東1, サービス業, 331
 1/6, -, 1Q, 単,6264, マルマエ, 東1, 機械, 130
 1/6, -, 3Q, 連,9793, ダイセキ, 東1, サービス業," 1,395"
 1/6, -, 3Q, 単,9977, アオキスーパー, JQ, 小売業, 168
 1/7, -, 1Q, 単,1997, 暁飯島, JQ, 建設業, 34
 1/7, -, 3Q, 連,2659, サンエー, 東1, 小売業," 1,585"
 1/7, -, 2Q, 連,2792, ハニーズHLD, 東1, 小売業, 439
 1/7, -, 本, 連,3186, ネクステージ, 東1, 小売業, 941
 1/7, -, 本, 連,3244, サムティ, 東1, 不動産業, 866
 1/7, -, 2Q, 連,4735, 京　進, 東2, サービス業, 77
 1/7, -, 2Q, 単,7673, ダイコー通, 東2, 卸売業, 70
 1/7, -, 3Q, 連,7679, 薬王堂HD, 東1, 小売業, 499
 1/7, -, 3Q, 連,8008, ４℃ＨＤ, 東1, 小売業, 639
 1/7, -, 3Q, 連,8125, ワキタ, 東1, 卸売業, 595
 1/7, -, 3Q, 単,8931, 和田興産, JQ, 不動産業, 92
 1/7, -, 3Q, 連,9974, ベルク, 東1, 小売業," 1,123"
 1/8, -, 3Q, 連,2178, トライステージ, マザ, サービス業, 93
 1/8, -, 3Q, 連,2670, ABC マート, 東1, 小売業," 6,215"
 1/8, -, 3Q, 連,3141, ウエルシアHD, 東1, 小売業," 6,918"
 1/8, -, 3Q, 連,3550, スタジオアタオ, マザ, 小売業, 84
 1/8, -, 3Q, 連,4714, リソー教育, 東1, サービス業, 600
 1/8, -, 3Q, 連,6183, ベル24HD, 東1, サービス業," 1,224"
 1/8, -, 3Q, 単,6469, 放電精密, JQ, 機械, 71
 1/8, -, 2Q, 単,6552, GameWith, 東1, サービス業, 143
 1/8, -, 1Q, 連,7581, サイゼリヤ, 東1, 小売業," 1,368"
 1/8, -, 3Q, 連,8278, フ　ジ, 東1, 小売業, 758
 1/8, -, 2Q, 連,9265, ヤマシタヘルケア, 東1, 卸売業, 39
 1/8, -, 1Q, 連,9414, 日本BS放, 東1, 情報・通信業, 193
 1/8, -, 3Q, 連,9846, 天満屋ス, 東2, 小売業, 141
 1/8, -, 3Q, 連,9993, ヤマザワ, 東1, 小売業, 186
 1/9, -, 2Q, 連,1377, サカタのタネ, 東1, 水産・農林業," 1,693"
 1/9, -, 2Q, 単,2303, ドーン, JQ, 情報・通信業, 50
 1/9, -, 3Q, 連,2341, アルバイトタイ, JQ, サービス業, 64
 1/9, -, 2Q, 連,2462, ライク, 東1, サービス業, 320
 1/9, -, 2Q, 連,2791, 大黒天, 東1, 小売業, 460
 1/9, -, 本, 連,2809, キユーピー, 東1, 食料品," 3,716"
 1/9, -, 本, 連,2830, アヲハタ, 東2, 食料品, 191
 1/9, -, 3Q, 連,2918, わらべや, 東1, 食料品, 305
 1/9, -, 1Q, 連,2927, AFC-HD, JQ, 食料品, 93
 1/9, -, 3Q, 単,3083, シーズメン, JQ, 小売業, 14
 1/9, -, 1Q, 連,3376, オンリー, 東1, 小売業, 48
 1/9, -, 3Q, 連,3382, 7&I-HD, 東1, 小売業," 36,060"
 1/9, -, 3Q, 連,3396, フェリシモ, 東1, 小売業, 103
 1/9, -, 1Q, 連,3697, SHIFT, 東1, 情報・通信業," 1,224"
 1/9, -, 本, 連,4187, 大有機, 東1, 化学, 322
 1/9, -, 2Q, 単,4430, 東海ソフト, 東2, 情報・通信業, 52
 1/9, -, 3Q, 単,4745, 東京個別, 東1, サービス業, 385
 1/9, -, 3Q, 連,4763, クリーク&リバ, 東1, サービス業, 258
 1/9, -, 2Q, 連,5932, 三協立山, 東1, 金属製品, 406
 1/9, -, 本, 連,5942, 日フイルコン, 東1, 金属製品, 114
 1/9, -, 3Q, 連,6093, エスクローAJ, 東1, サービス業, 99
 1/9, -, 3Q, 連,6312, フロイント, JQ, 機械, 146
 1/9, -, 2Q, 連,6489, 前沢工, 東1, 機械, 84
 1/9, -, 2Q, 単,6496, 中北製, 東2, 機械, 101
 1/9, -, 3Q, 連,6506, 安川電, 東1, 電気機器," 11,508"
 1/9, -, 3Q, 連,6734, ニューテック, JQ, 電気機器, 24
 1/9, -, 3Q, 連,7544, スリーエフ, 東2, 小売業, 32
 1/9, -, 3Q, 連,7601, ポプラ, 東1, 小売業, 62
 1/9, -, 3Q, 単,7847, グラファイトD, JQ, その他製品, 35
 1/9, -, 2Q, 連,7888, 三光合成, 東1, 化学, 138
 1/9, -, 3Q, 連,7975, リヒトラブ, 東2, その他製品, 35
 1/9, -, 1Q, 単,8184, 島　忠, 東1, 小売業," 1,289"
 1/9, -, 3Q, 連,8237, 松　屋, 東1, 小売業, 480
 1/9, -, 3Q, 連,8260, 井筒屋, 東1, 小売業, 30
 1/9, -, 3Q, 連,8273, イズミ, 東1, 小売業," 2,917"
 1/9, -, 2Q, 単,8887, リベレステ, JQ, 不動産業, 100
 1/9, -, 3Q, 連,8905, イオンモール, 東1, 不動産業," 4,314"
 1/9, -, 2Q, 連,8908, 毎コムネット, 東1, 不動産業, 156
 1/9, -, 本, 連,8923, トーセイ, 東1, 不動産業, 736
 1/9, -, 本, 連,9369, キユソー流通, 東1, 倉庫運輸関連, 243
 1/9, -, 3Q, 連,9716, 乃村工, 東1, サービス業," 1,694"
 1/9, -, 2Q, 連,9765, オオバ, 東1, サービス業, 168
 1/9, -, 3Q, 単,9778, 昴, JQ, サービス業, 31
 1/9, -, 3Q, 連,9903, カンセキ, JQ, 小売業, 138
 1/9, -, 1Q, 連,9983, ファーストリテイ, 東1, 小売業," 71,059"
 1/10, 15:00, 3Q, 連,3093, トレファク, 東1, 小売業, 126
 1/10, 15:00, 3Q, 連,6432, 竹内製作, 東1, 機械, 824
 1/10, 15:00, 2Q, 連,6567, SERIOHD, マザ, サービス業, 23
 1/10, -, 2Q, 単,1401, エムビーエス, マザ, 建設業, 73
 1/10, -, 2Q, 単,1430, ファーストコポ, 東1, 建設業, 84
 1/10, -, 2Q, 連,2153, イージェイHD, 東1, サービス業, 123
 1/10, -, 1Q, 連,2157, コシダカHD, 東1, サービス業," 1,244"
 1/10, -, 1Q, 連,2164, 地域新聞, JQ, サービス業, 15
 1/10, -, 3Q, 連,2292, S Foods, 東1, 食料品, 915
 1/10, -, 3Q, 単,2294, 柿安本店, 東1, 食料品, 377
 1/10, -, 3Q, 連,2337, いちご, 東1, 不動産業," 2,324"
 1/10, -, 3Q, 連,2338, ビットワンG, 東2, 情報・通信業, 25
 1/10, -, 3Q, 単,2379, ディップ, 東1, サービス業," 1,981"
 1/10, -, 2Q, 連,2459, アウンコンサル, 東2, サービス業, 18
 1/10, -, 3Q, 連,2651, ローソン, 東1, 小売業," 6,309"
 1/10, -, 3Q, 連,2668, タビオ, 東2, 卸売業, 76
 1/10, -, 3Q, 単,2669, カネ美食品, JQ, 小売業, 302
 1/10, -, 3Q, 連,2687, シーヴイエス, 東1, 小売業, 34
 1/10, -, 3Q, 単,2706, ブロッコリー, JQ, その他製品, 120
 1/10, -, 1Q, 連,2735, ワッツ, 東1, 小売業, 84
 1/10, -, 1Q, 連,2736, フェスタリアHD, JQ, 小売業, 20
 1/10, -, 3Q, 単,2747, 北雄ラッキー, JQ, 小売業, 42
 1/10, -, 3Q, 単,2872, セイヒョー, 東2, 食料品, 15
 1/10, -, 本, 連,2975, スターマイカHD, 東1, 不動産業, 304
 1/10, -, 1Q, 連,3045, カワサキ, 東2, 卸売業, 28
 1/10, -, 1Q, 連,3046, JINSHD, 東1, 小売業," 1,736"
 1/10, -, 1Q, 連,3048, ビックカメラ, 東1, 小売業," 2,337"
 1/10, -, 3Q, 連,3063, jGroup, マザ, 小売業, 68
 1/10, -, 3Q, 単,3065, ライフフーズ, JQ, 小売業, 69
 1/10, -, 3Q, 単,3094, スーパーＶ, JQ, 小売業, 35
 1/10, -, 1Q, 連,3189, ＡＮＡＰ, JQ, 小売業, 27
 1/10, -, 3Q, 連,3194, キリン堂HD, 東1, 小売業, 236
 1/10, -, 本, 連,3267, フィルカンパニ, マザ, 建設業, 214
 1/10, -, 3Q, 連,3280, エストラスト, 東1, 不動産業, 50
 1/10, -, 2Q, 単,3297, 東武住販, JQ, 不動産業, 29
 1/10, -, 2Q, 連,3349, コスモス薬品, 東1, 小売業," 4,584"
 1/10, -, 本, 単,3377, バイク王, 東2, 卸売業, 30
 1/10, -, 本, 連,3454, Fブラザース, 東1, 不動産業, 187
 1/10, -, 3Q, 単,3490, アズ企画, JQ, 不動産業, 14
 1/10, -, 3Q, 連,3543, コメダ, 東1, 卸売業, 960
 1/10, -, 3Q, 連,3546, アレンザHD, 東1, 小売業, 281
 1/10, -, 1Q, 単,3560, ほぼ日, JQ, 小売業, 126
 1/10, -, 1Q, 連,3607, クラウディアH, 東1, 繊維製品, 47
 1/10, -, 3Q, 連,3608, TSI HD, 東1, 繊維製品, 586
 1/10, -, 3Q, 連,3627, ネオス, 東1, 情報・通信業, 93
 1/10, -, 2Q, 連,3645, メディカネット, マザ, 情報・通信業, 27
 1/10, -, 3Q, 連,3670, 協立情報, JQ, 情報・通信業, 23
 1/10, -, 1Q, 連,3711, 創　通, JQ, 情報・通信業, 465
 1/10, -, 1Q, 連,3815, メディ工房, マザ, 情報・通信業, 54
 1/10, -, 3Q, 単,3826, システムインテ, 東1, 情報・通信業, 91
 1/10, -, 2Q, 単,3892, 岡山製紙, JQ, パルプ・紙, 43
 1/10, -, 3Q, 連,3915, テラスカイ, 東1, 情報・通信業, 298
 1/10, -, 3Q, 連,3922, PRTIMES, 東1, 情報・通信業, 149
 1/10, -, 3Q, 連,3967, エルテス, マザ, 情報・通信業, 92
 1/10, -, 本, 単,4394, エクスモーション, マザ, 情報・通信業, 67
 1/10, -, 1Q, 連,4439, 東　名, マザ, 情報・通信業, 98
 1/10, -, 1Q, 連,4440, ヴィッツ, マザ, 情報・通信業, 86
 1/10, -, 3Q, 連,4530, 久光薬, 東1, 医薬品," 4,497"
 1/10, -, 1Q, 連,4760, ALPHA, JQ, サービス業, 14
 1/10, -, 2Q, 連,4829, 日本エンタ, 東1, 情報・通信業, 92
 1/10, -, 3Q, 連,4920, 日本色材, JQ, 化学, 50
 1/10, -, 3Q, 連,5271, トーヨーアサノ, 東2, ｶﾞﾗｽ土石製品, 27
 1/10, -, 3Q, 単,5900, ダイケン, JQ, 金属製品, 43
 1/10, -, 3Q, 連,5982, マルゼン, 東2, 金属製品, 423
 1/10, -, 3Q, 連,6058, ベクトル, 東1, サービス業, 490
 1/10, -, 本, 連,6136, ＯＳＧ, 東1, 機械," 2,109"
 1/10, -, 2Q, 連,6150, タケダ機, JQ, 機械, 29
 1/10, -, 1Q, 連,6255, エヌピーシー, マザ, 機械, 90
 1/10, -, 1Q, 連,6289, 技研製, 東1, 機械," 1,400"
