,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,OPEN_A,CLOSE_A,OPEN_B,CLOSE_B,SIGMA,ABS_SIGMA,DEV_RATE,AXIS_LOT_SIZE,PAIR_LOT_SIZE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times
224,6481,ＴＨＫ,機械,6856,堀場製作所,電気機器,0.9360686845397852,0.9230097117277624,0.07290462998205376,0.005421677838814751,2782.0,2770.0,6330.0,6380.0,-1.9578953555132093,1.9578953555132093,-5.06,200,100,13.17,-45625.0,-4148.0,-0.12,11,6,5,54.55
217,4182,三菱瓦斯化学,化学,7211,三菱自動車工業,輸送用機器,0.936657944609678,0.9434808657868432,0.4448246326998097,0.13065625777127587,1397.0,1408.0,467.0,468.0,1.9544744220035128,1.9544744220035128,4.76,700,2100,0.28,417958.0,24586.0,1.41,17,13,4,76.47
184,8273,イズミ,小売業,8385,伊予銀行,銀行業,0.9405868686687009,0.9195161716593732,0.01803109589421321,0.09998070369729084,4265.0,4180.0,558.0,564.0,-1.9490814354437307,1.9490814354437307,-4.97,200,1500,1.2,190417.0,12694.0,0.75,15,8,7,53.33
114,7251,ケーヒン,輸送用機器,8601,大和証券グループ本社,証券、商品先物取引業,0.9510239050677752,0.9407137158848984,0.07768849530182341,0.1443552094229602,1610.0,1629.0,482.4,487.6,1.9472546807576152,1.9472546807576152,4.9,600,2000,0.23,172806.0,10800.0,0.56,16,10,6,62.5
104,5991,日本発條,金属製品,7202,いすゞ自動車,輸送用機器,0.9537076442800924,0.9446615119015318,0.3301673801707206,0.1748355196554875,805.0,815.0,1143.0,1148.5,1.909223282517364,1.909223282517364,4.28,1100,800,2.43,-12925.0,-808.0,-0.09,16,5,11,31.25
384,7182,ゆうちょ銀行,銀行業,8570,イオンフィナンシャルサービス,その他金融業,0.915633767532078,0.9298506461474112,0.2780260144182441,0.35573853873008243,1026.0,1030.0,1569.0,1583.0,1.9088485018018104,1.9088485018018104,3.55,900,600,2.4,244487.0,13583.0,0.73,18,12,6,66.67
504,6988,日東電工,化学,7251,ケーヒン,輸送用機器,0.9011166282922184,0.9004120973139839,0.26267894166964223,0.4754508583848847,5174.0,5222.0,1610.0,1629.0,-1.9058823895704933,1.9058823895704933,-7.03,100,300,6.42,-249460.0,-16631.0,-1.0,15,5,10,33.33
213,4061,デンカ,化学,6752,パナソニック,電気機器,0.9368940172411776,0.9203696405817194,0.08282652493191417,0.047924836814273786,2866.0,2876.0,880.4,883.6,-1.8866320236362768,1.8866320236362768,-5.43,300,1000,2.41,218797.0,12155.0,0.81,18,12,6,66.67
198,6301,小松製作所,機械,7186,コンコルディア・フィナンシャルグループ,銀行業,0.9390689007008082,0.9088242721262484,0.2494209247753877,0.06788354452661935,2379.5,2386.0,407.0,410.0,-1.885506031068252,1.885506031068252,-6.27,400,2300,1.19,306602.0,18035.0,0.96,17,11,6,64.71
90,4634,東洋インキＳＣホールディングス,化学,6995,東海理化電機製作所,輸送用機器,0.9555723206653536,0.9217244018803648,0.011904946109793613,0.219346654411036,2448.0,2454.0,1791.0,1804.0,1.8789989815662385,1.8789989815662385,3.34,400,500,8.11,18752.0,1172.0,0.07,16,8,8,50.0
440,6269,三井海洋開発,機械,6361,荏原製作所,機械,0.9104886739175296,0.9066465970961166,0.3101554700758131,0.02126771615138959,2524.0,2526.0,2811.0,2824.0,-1.86858827457026,1.86858827457026,-8.4,300,300,10.55,612473.0,38280.0,2.46,16,12,4,75.0
84,6586,マキタ,機械,8377,ほくほくフィナンシャルグループ,銀行業,0.9562113891610368,0.9283316014720749,0.0023979546884424986,0.015083192377202972,3140.0,3095.0,1015.0,1023.0,-1.859831922864352,1.859831922864352,-5.45,300,900,0.84,94701.0,6764.0,0.34,14,7,7,50.0
445,6472,ＮＴＮ,機械,7251,ケーヒン,輸送用機器,0.9097606844291036,0.9329231719586986,0.4849158840128606,0.4115606523458208,313.0,310.0,1610.0,1629.0,-1.8580707623154467,1.8580707623154467,-5.73,3200,600,1.49,-179665.0,-9981.0,-0.56,18,8,10,44.44
367,4581,大正製薬ホールディングス,医薬品,7201,日産自動車,輸送用機器,0.9175785169575894,0.9470314837786904,0.07000686627104731,0.1743355644479348,7570.0,7700.0,657.9,660.1,1.8361070698272044,1.8361070698272044,4.44,100,1200,2.87,60147.0,6683.0,0.36,9,5,4,55.56
481,4217,日立化成,化学,6750,エレコム,電気機器,0.9042828897194538,0.9236953619842474,0.0040261732553684496,0.3615769507904849,3505.0,3530.0,4150.0,4160.0,1.8357501368244842,1.8357501368244842,6.18,200,200,15.14,55964.0,3997.0,0.18,14,8,6,57.14
130,7731,ニコン,精密機器,8377,ほくほくフィナンシャルグループ,銀行業,0.9489401504109644,0.9101542819466908,0.17776416002685136,0.07270575885905352,1328.0,1325.0,1015.0,1023.0,-1.8268018346135664,1.8268018346135664,-4.51,700,900,0.73,-130307.0,-8144.0,-0.51,16,7,9,43.75
232,1963,日揮,建設業,8750,第一生命ホールディングス,保険業,0.9350550551704948,0.9207199520176562,0.04537046145560899,0.11775664279040975,1382.0,1358.0,1635.0,1624.0,-1.8257742499405127,1.8257742499405127,-5.36,700,600,2.44,105402.0,6200.0,0.38,17,9,8,52.94
364,8377,ほくほくフィナンシャルグループ,銀行業,9404,日本テレビホールディングス,情報・通信業,0.9176175589293843,0.912698403842816,0.3894145608687431,0.30946000006867824,1015.0,1023.0,1364.0,1372.0,1.778479333859993,1.778479333859993,4.91,900,700,4.13,76830.0,4802.0,0.24,16,8,8,50.0
361,5803,フジクラ,非鉄金属,7182,ゆうちょ銀行,銀行業,0.9180151161091828,0.9097688682723468,0.1024355915331952,0.020949795471191718,410.0,410.0,1026.0,1030.0,1.7592986224178868,1.7592986224178868,8.54,2300,900,1.73,-229047.0,-12055.0,-0.7,19,8,11,42.11
302,2768,双日,卸売業,5802,住友電気工業,非鉄金属,0.9257524793304398,0.9083053064569904,0.004001514565573509,0.20077508620091775,326.0,325.0,1341.0,1347.5,-1.758152450885357,1.758152450885357,-5.38,2900,700,0.08,-3024.0,-202.0,0.0,15,8,7,53.33
347,5803,フジクラ,非鉄金属,6371,椿本チエイン,機械,0.9203051452263196,0.9137758846520904,0.03826578428983487,0.3557731525734213,410.0,410.0,3295.0,3360.0,1.7249348718969637,1.7249348718969637,7.96,1600,200,2.38,-20815.0,-1301.0,0.01,16,8,8,50.0
119,1820,西松建設,建設業,3099,三越伊勢丹ホールディングス,小売業,0.9503108346741932,0.9282942688391336,0.02059415963043939,0.5298467167456228,1938.0,1950.0,855.0,856.0,-1.7243640487841003,1.7243640487841003,-3.15,500,1100,3.43,118792.0,6600.0,0.31,18,11,7,61.11
222,4061,デンカ,化学,7167,めぶきフィナンシャルグループ,銀行業,0.9363052718797582,0.9393383132274616,0.15403258056488411,0.03336707564710565,2866.0,2876.0,261.0,261.0,-1.718039877271906,1.718039877271906,-4.6,300,3300,0.17,8501.0,405.0,-0.0,21,10,11,47.62
105,7180,九州フィナンシャルグループ,銀行業,8385,伊予銀行,銀行業,0.9532470827470688,0.9284917249631078,0.06213561763768252,0.3649294085337539,427.0,426.0,558.0,564.0,-1.7106067867776644,1.7106067867776644,-3.77,2300,1700,2.19,-134415.0,-7074.0,-0.38,19,7,12,36.84
149,5803,フジクラ,非鉄金属,5991,日本発條,金属製品,0.9460501128278874,0.9321158482678464,0.11878108941854942,0.04376887498053124,410.0,410.0,805.0,815.0,1.7019008048194983,1.7019008048194983,6.03,2400,1200,0.61,-105097.0,-6182.0,-0.37,17,8,9,47.06
12,5802,住友電気工業,非鉄金属,7211,三菱自動車工業,輸送用機器,0.9738822220144862,0.9365240529100624,0.03676945400322632,0.0378768724039984,1341.0,1347.5,467.0,468.0,1.6636686330161956,1.6636686330161956,2.88,700,2000,0.77,66062.0,3886.0,0.18,17,10,7,58.82
25,5201,ＡＧＣ,ガラス・土石製品,7012,川崎重工業,輸送用機器,0.968089707098298,0.9511446476138196,0.1389925117091707,0.003021923302466885,3310.0,3295.0,2324.0,2358.0,-1.6529611282539725,1.6529611282539725,-3.84,300,400,4.58,68111.0,6811.0,0.39,10,6,4,60.0
515,9506,東北電力,電気・ガス業,9508,九州電力,電気・ガス業,0.9002360035835648,0.9795918697038872,0.026941460675636398,0.18092293898385006,1096.0,1107.0,1059.0,1069.0,1.6423318368757542,1.6423318368757542,1.87,900,900,3.43,156516.0,12040.0,0.62,13,10,3,76.92
283,6361,荏原製作所,機械,8012,長瀬産業,卸売業,0.9282946002336148,0.9027200756029328,0.2383648779966397,0.006378631310943935,2811.0,2824.0,1470.0,1489.0,1.6409361012973174,1.6409361012973174,4.85,300,600,5.45,350145.0,21884.0,1.26,16,12,4,75.0
341,8002,丸紅,卸売業,8308,りそなホールディングス,銀行業,0.9208689949190274,0.9154468671278292,0.27076023917620723,0.6362273186202884,694.9,694.1,449.3,451.0,-1.6288122545951136,1.6288122545951136,-3.97,1400,2200,2.11,352265.0,22017.0,1.14,16,12,4,75.0
208,7453,良品計画,小売業,8308,りそなホールディングス,銀行業,0.9377299401140788,0.9093910038244496,0.11192262159704447,0.3171835146117119,2064.0,2033.0,449.3,451.0,1.61956394806178,1.61956394806178,3.0,400,1800,0.17,317180.0,16694.0,1.07,19,12,7,63.16
431,3105,日清紡ホールディングス,電気機器,7272,ヤマハ発動機,輸送用機器,0.9112365558830346,0.9177105814370332,0.011117823881529059,0.2753357692070186,836.0,822.0,1923.0,1938.0,-1.6101041690294018,1.6101041690294018,-4.3,1200,500,1.8,310918.0,18289.0,0.97,17,10,7,58.82
2,5201,ＡＧＣ,ガラス・土石製品,5214,日本電気硝子,ガラス・土石製品,0.9840628899729691,0.9305653816816188,0.0011344932355084035,0.05580214661496224,3310.0,3295.0,2351.0,2355.0,1.579923001591779,1.579923001591779,2.24,300,400,4.7,102655.0,14665.0,0.82,7,3,4,42.86
50,5802,住友電気工業,非鉄金属,5803,フジクラ,非鉄金属,0.9611981717005096,0.96160723007935,0.31907352445952786,0.007231425969748757,1341.0,1347.5,410.0,410.0,-1.5770300929173933,1.5770300929173933,-6.69,700,2300,0.03,-335941.0,-17681.0,-0.93,19,7,12,36.84
351,4182,三菱瓦斯化学,化学,7278,エクセディ,輸送用機器,0.9195611427978804,0.9699094586606516,0.4697862279338526,0.0008164509587969059,1397.0,1408.0,2084.0,2092.0,1.576527698334342,1.576527698334342,4.06,600,400,0.96,176346.0,13565.0,0.73,13,6,7,46.15
328,5802,住友電気工業,非鉄金属,8385,伊予銀行,銀行業,0.9226750595168504,0.9172207162848692,0.2740490559393931,0.3030693576216461,1341.0,1347.5,558.0,564.0,-1.5688309029779757,1.5688309029779757,-3.92,700,1700,1.65,42133.0,3511.0,0.16,12,6,6,50.0
492,7453,良品計画,小売業,8273,イズミ,小売業,0.9023600264355224,0.9243951134613871,0.7572443319404745,0.19985946276909186,2064.0,2033.0,4265.0,4180.0,1.5654005586436324,1.5654005586436324,4.85,400,200,2.73,18198.0,1820.0,0.09,10,4,6,40.0
4,6471,日本精工,機械,6472,ＮＴＮ,機械,0.9822332051636572,0.9512449167055428,0.01003783770449033,0.17216892111475768,909.0,914.0,313.0,310.0,-1.5300811011020885,1.5300811011020885,-2.17,1000,2900,1.64,-58228.0,-3882.0,-0.21,15,8,7,53.33
457,8377,ほくほくフィナンシャルグループ,銀行業,9505,北陸電力,電気・ガス業,0.9078638060959238,0.9289486525432418,0.15593127965084952,0.08386404373322076,1015.0,1023.0,733.0,731.0,-1.5212531866303238,1.5212531866303238,-4.57,900,1300,3.21,229527.0,15302.0,0.83,15,9,6,60.0
377,8750,第一生命ホールディングス,保険業,8795,Ｔ＆Ｄホールディングス,保険業,0.9166228499082832,0.9837690756164004,0.6277459602107842,0.16506144446409987,1635.0,1624.0,1137.0,1135.0,1.5132950962868792,1.5132950962868792,3.78,600,900,4.83,121644.0,7156.0,0.38,17,12,5,70.59
53,3099,三越伊勢丹ホールディングス,小売業,7211,三菱自動車工業,輸送用機器,0.9606996560987769,0.9527078740371058,0.004197456790263552,0.08047827235945759,855.0,856.0,467.0,468.0,1.497534902413144,1.497534902413144,3.13,1100,2000,0.59,151213.0,9451.0,0.5,16,9,7,56.25
