,SYM_A,SYM_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y
66,5019,8002,0.9586264148491108,0.9497615163751569,0.006057617220404455,0.01772380137426007
67,6752,8795,0.9584456908340919,0.9425770221059203,0.09903856965149005,0.1972570292069461
68,6506,6645,0.9584012230615047,0.9045183195880924,0.020733658486983594,0.023171742996429184
69,1963,5393,0.958383592148932,0.9043019571640893,0.0003470448321058268,0.6618577930296876
70,7182,8242,0.9583015898072396,0.9228653857020938,0.015524833672138416,0.48566491081764707
71,8341,8750,0.9581394760897362,0.968356827530078,0.1250924422403863,0.07150935327536088
72,7189,7327,0.9579389071921314,0.9313751927393108,0.11587426771803416,0.44157621036749395
73,4401,5401,0.9575751675957412,0.9437398835162186,0.8376436079795917,0.01746241729373309
74,2914,7189,0.957552321232375,0.9312668107058071,0.04176797223401766,0.05455579435384321
75,7182,9810,0.9573844848403658,0.9002858745445644,0.00865232038725446,0.1592281632520695
76,8306,8601,0.957263916521647,0.9345412196537158,0.270499441508704,0.7810370673200099
77,5406,6586,0.9570625308800806,0.9076547587276678,0.0012457635008667975,0.2751194822010861
78,5401,5406,0.9568404945442931,0.9682328581849934,0.08972902337774769,0.4114495303891485
79,6752,7211,0.9565567325409368,0.9456898607573115,0.12672041230694114,0.5286305322656979
80,8359,8385,0.9565464714574202,0.9360990474878996,0.23199025444679516,0.16295688642629952
81,1963,5021,0.9563584736914121,0.9272198831226159,0.01306611159437053,0.01610781761819493
82,4202,7189,0.9562576508397059,0.9352684930671276,0.19736128641778877,0.39239114092542454
83,6995,8002,0.9562352682029197,0.9289465877704649,0.029299117138482364,0.022020180851821888
84,6586,8377,0.9562113891610367,0.928331601472075,0.002397954688442499,0.015083192377202972
85,1333,5401,0.956130943018871,0.9336643089603465,0.044899570072145546,0.17034844354402517
86,5401,6586,0.9559333138050944,0.908127781418646,0.1676926505646137,0.26631971947083066
87,5401,7261,0.9558510796654645,0.9087696095564378,0.6782194137882508,0.7901834599640685
88,5020,7846,0.9557745459825728,0.911138809279026,0.006527664442558436,0.6390819833730302
89,5411,8058,0.9556831316799478,0.9246368309861348,0.5791488180289864,0.112067355977093
90,4634,6995,0.9555723206653536,0.9217244018803648,0.011904946109793613,0.21934665441103596
91,5214,7012,0.9553284612194507,0.9476544890245691,0.25369813118242934,0.0031289829982448893
92,5020,8795,0.9552563919086365,0.9670239877194455,0.0821760429489255,0.01975972228245245
93,3405,4631,0.9552407344499154,0.9022149886647243,0.02029899236350716,0.32189921632044416
94,4581,8377,0.9549847212167554,0.9148631900931182,0.001001251435116723,0.46521504357515153
95,7167,7278,0.9548268368318449,0.9415186541886996,0.03351868718748697,0.05936564479602225
96,7189,9505,0.9547156628655371,0.9334499983682243,0.009614114696087807,0.09552362470449632
97,3099,6752,0.9546518249184209,0.9063425487420119,0.1908869292097864,0.6870141084735271
98,7846,8242,0.9544993722349214,0.9178355049780196,0.0012128225574735492,0.5310470233517421
99,3291,5991,0.9544201047243349,0.9147363457881516,0.004358511290949444,0.0007504886430930001
100,6472,6995,0.9542673956034187,0.9526599138370329,0.31311771278730405,0.0341309633291691
101,6471,6473,0.9541176833862633,0.9594315816117072,0.33278839082169276,0.03241834654722752
102,5411,8377,0.9539630728783502,0.9032600550722831,0.04590678622978395,0.5816237760962386
103,7211,8309,0.9538949639999611,0.906403553781939,0.36965741497795385,0.1464518269945499
104,5991,7202,0.9537076442800924,0.9446615119015318,0.3301673801707206,0.1748355196554875
105,7180,8385,0.9532470827470687,0.9284917249631078,0.06213561763768253,0.3649294085337539
