YEAR,MONTH,open_date,close_date,sellCode,sellCodeName,sellOpenPrice,sellMount,sellClosePrice,sellTradeFee,sellInterestFee,sellOtherFee,buyCode,buyCodeName,buyOpenPrice,buyMount,buyClosePrice,buyTradeFee,buyInterestFee,buyOtherFee,totalReturn,totalReturnRate,open_days,result
2019,12,2019-12-09,2019-12-25,5991,日本発條,1013,900,1023,770,439.6142465753424,0,7267,本田技研工業,3170,300,3125,770,1167.2547945205479,0,-25646.869041095888,-0.01376865251575449,16,OVER MAX DAY
2019,12,2019-12-10,2019-12-27,6471,日本精工,1067,1000,1054,770,546.654794520548,0,6473,ジェイテクト,1360,800,1333,770,1418.8712328767124,0,-12105.526027397262,-0.005617413469789913,17,OVER MAX DAY
2019,12,2019-12-12,2019-12-30,1860,戸田建設,730,1400,733,770,554.4,0,5110,住友ゴム工業,1420,700,1340,770,1372.5369863013698,0,-63666.93698630137,-0.03158082191780822,18,OVER MAX DAY
2020,2,2020-01-17,2020-02-03,8572,アコム,513,2000,501,770,525.6493150684931,0,8804,東京建物,1711,600,1755,770,1338.798904109589,0,46995.551780821916,0.022895621056621806,17,OVER MAX DAY
2020,2,2020-01-16,2020-02-03,5333,日本碍子,1958,500,1827,770,531.0739726027398,0,9810,日鉄物産,5120,200,4900,770,1413.9616438356165,0,18014.964383561644,0.008993991204973363,18,OVER MAX DAY
2020,2,2020-01-15,2020-02-03,3105,日清紡ホールディングス,1037,1000,928,770,593.7890410958904,0,3116,トヨタ紡織,1711,600,1579,770,1496.3046575342466,0,26169.90630136986,0.012681675858388187,19,OVER MAX DAY
2020,2,2020-02-05,2020-02-21,9501,東京電力ホールディングス,454,2300,437,770,503.5046575342465,100,8273,イズミ,3505,300,3340,770,1290.6082191780822,300,-14134.11287671233,-0.0067443397798885,16,OVER MAX DAY
2020,2,2020-02-05,2020-02-21,9201,日本航空,3112,300,2995,770,450.1742465753424,200,8242,エイチ・ツー・オー　リテイリング,995,900,930,770,1099.1342465753426,200,-26889.308493150682,-0.01470084112030544,16,OVER MAX DAY
2020,2,2020-02-06,2020-02-25,7240,ＮＯＫ,1600,700,1472,770,641.3150684931506,200,6472,ＮＴＮ,301,3700,276,770,1623.255890410959,200,-7104.570958904107,-0.003180628982810631,19,OVER MAX DAY
2020,2,2020-02-07,2020-02-25,8306,三菱ＵＦＪフィナンシャル・グループ,579.9,1700,545.5,770,534.7790136986301,0,6995,東海理化電機製作所,1941,500,1711,770,1340.0876712328768,0,-59934.86668493154,-0.03063637867074141,18,STOP LOSS
2020,2,2020-02-10,2020-02-25,4183,三井化学,2580,400,2400,770,466.52054794520546,0,4208,宇部興産,2202,500,2070,770,1266.9041095890411,100,2626.575342465745,0.0012313995979680004,15,OVER MAX DAY
2020,3,2020-02-14,2020-03-02,6457,グローリー,3190,300,2839,770,490.2986301369863,0,6925,ウシオ電機,1503,600,1341,770,1176.0460273972603,0,4893.655342465761,0.0026326960095038525,17,OVER MAX DAY
2020,3,2020-02-17,2020-03-04,8316,三井住友フィナンシャルグループ,3832,200,3340,770,369.5517808219178,0,8385,伊予銀行,551,1400,480,770,946.8142465753425,0,-3856.3660273972637,-0.002507716235789611,16,OVER MAX DAY
2020,5,2020-05-19,2020-05-28,3101,東洋紡,1494,700,1540,770,283.6553424657534,0,7282,豊田合成,2149,500,2378,770,741.8465753424658,0,79734.49808219177,0.03760529079950562,9,STOP PROFIT
