,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,OPEN_A,CLOSE_A,AXIS_LOT_SIZE,TRADE_A,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,OPEN_B,CLOSE_B,PAIR_LOT_SIZE,TRADE_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,SIGMA,ABS_SIGMA,LAST_DAY_SIGMA,DEV_RATE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times,open_days,stop_profit_times,stop_loss_times,max_day_over_times,DATE_3M_ago,CLOSE_A_3M_ago,CLOSE_B_3M_ago,DATE_6M_ago,CLOSE_A_6M_ago,CLOSE_B_6M_ago,DATE_1y_ago,CLOSE_A_1y_ago,CLOSE_B_1y_ago,DATE_2y_ago,CLOSE_A_2y_ago,CLOSE_B_2y_ago
2689,1824,前田建設工業,建設業,857.0,862.0,1200,BUY,8585,オリエントコーポレーション,その他金融業,126.0,129.0,8000,SELL,0.7711607919268274,0.8918910595186758,0.4989612420805122,0.04177971389488777,-0.5285027314253306,0.5285027314253306,0.027215706935380085,-2.12,0.23,-10376.0,-648.0,-0.14,16,8,8,50.0,17.0,4,4,8,2020/03/02,945.0,137.0,2019/12/02,997.0,159.0,2019/06/02,897.0,110.0,2018/06/02,1228.0,153.0
670,3076,あい　ホールディングス,卸売業,1458.0,1452.0,600,BUY,4091,大陽日酸,化学,1809.0,1875.0,500,SELL,0.8370774386739606,0.9507171295758632,0.00793641812837936,0.0014248773630508686,-0.6386015876877446,0.6386015876877446,0.1153789431106207,-3.2,7.07,-10384.0,-865.0,0.05,12,7,5,58.33,20.0,1,1,10,2020/03/02,1515.0,1967.0,2019/12/02,1997.0,2456.0,2019/06/02,1625.0,2009.0,2018/06/02,2632.0,1670.0
329,5108,ブリヂストン,ゴム製品,3544.0,3552.0,300,BUY,6103,オークマ,機械,4640.0,4685.0,200,SELL,0.7362668906812903,0.9607244324653342,0.2255798328858722,0.041877893292401075,-1.088273537984629,1.088273537984629,0.8935871678377658,-13.75,13.72,-10451.0,-3484.0,-0.24,3,2,1,66.67,9.0,1,1,1,2020/03/02,3579.0,4525.0,2019/12/02,4383.0,6010.0,2019/06/02,4082.0,5090.0,2018/06/02,4377.0,6620.0
1256,6103,オークマ,機械,4640.0,4685.0,200,SELL,8850,スターツコーポレーション,不動産業,2200.0,2236.0,400,BUY,0.8194602363736498,0.9361484550936713,0.23957005034199802,0.09418323705674991,1.3401069059156057,1.3401069059156057,1.2539901792391277,10.24,4.55,-10492.0,-954.0,-0.33,11,6,5,54.55,17.0,2,2,7,2020/03/02,4525.0,2232.0,2019/12/02,6010.0,2653.0,2019/06/02,5090.0,2513.0,2018/06/02,6620.0,2835.0
3394,2503,キリンホールディングス,食料品,2270.0,2328.0,400,SELL,8309,三井住友トラスト・ホールディングス,銀行業,3132.0,3163.0,300,BUY,0.5076894684733894,0.8607791707610243,0.010150289752998871,0.0004415343771629932,1.4313961589895876,1.4313961589895876,1.15504004839371,9.92,1.87,-10882.0,-1814.0,0.43,6,4,2,66.67,12.0,1,2,3,2020/03/02,2115.5,3649.0,2019/12/02,2435.5,4246.0,2019/06/02,2368.0,3986.0,2018/06/02,3102.0,4698.0
2332,1332,日本水産,水産・農林業,504.0,504.0,2000,BUY,4004,昭和電工,化学,2583.0,2572.0,400,SELL,0.5897243686913268,0.9049767025721455,0.0900609435401325,0.04085792176043249,-1.130411289893342,1.130411289893342,1.3277193414918491,-9.17,2.02,-10911.0,-642.0,-0.2,17,9,8,52.94,16.0,5,4,8,2020/03/02,516.0,2274.0,2019/12/02,647.0,2963.0,2019/06/02,640.0,2944.0,2018/06/02,538.0,4870.0
2190,8830,住友不動産,不動産業,2999.5,3106.0,300,BUY,9616,共立メンテナンス,サービス業,3530.0,3600.0,300,SELL,0.7924814181261116,0.9092113300184066,0.03789276066845689,0.07654276411637334,-1.5749798762529317,1.5749798762529317,1.4534970592794776,-20.64,13.72,-11090.0,-2218.0,-0.32,5,2,3,40.0,19.0,1,0,4,2020/03/02,3296.0,3390.0,2019/12/02,3811.0,5270.0,2019/06/02,4054.0,5240.0,2018/06/02,4135.0,5580.0
297,5108,ブリヂストン,ゴム製品,3544.0,3552.0,300,BUY,9024,西武ホールディングス,陸運業,1397.0,1442.0,700,SELL,0.8086969054763461,0.9619796648398585,0.09389800096366141,0.03135570317720158,-0.3264349185679335,0.3264349185679335,0.23298584542042855,-1.78,5.27,-11239.0,-1405.0,-0.02,8,4,4,50.0,21.0,0,0,8,2020/03/02,3579.0,1494.0,2019/12/02,4383.0,1907.0,2019/06/02,4082.0,1834.0,2018/06/02,4377.0,1816.0
221,6201,豊田自動織機,輸送用機器,5560.0,5660.0,100,BUY,6592,マブチモーター,電気機器,3550.0,3590.0,200,SELL,0.8311196020590929,0.9652471434818297,0.17721525534353005,5.1515545554938035e-05,-0.18011200002475952,0.18011200002475952,0.7859577319963276,-0.66,26.86,-11307.0,-5654.0,-0.3,2,0,2,0.0,21.0,0,0,2,2020/03/02,5680.0,3640.0,2019/12/02,6420.0,4300.0,2019/06/02,5540.0,3485.0,2018/06/02,6610.0,5180.0
535,8308,りそなホールディングス,銀行業,380.1,380.0,2700,BUY,9603,エイチ・アイ・エス,サービス業,2050.0,2030.0,500,SELL,0.7743949237685551,0.9544441877958133,0.024725730690100565,0.0262115761074895,-0.9265392444551492,0.9265392444551492,0.8748519393487847,-15.14,1.08,-11716.0,-617.0,0.04,19,11,8,57.89,19.0,3,3,13,2020/03/02,397.7,1971.0,2019/12/02,468.3,3020.0,2019/06/02,455.1,3145.0,2018/06/02,639.2,3750.0
