,SYM_A,SYM_B,CORR_3M,CORR_1Y
110,7167,8377,0.9598584083751538,0.9712275595432821
111,4507,5411,0.9597622562374926,0.9158042197748386
112,7013,8795,0.9597255311159593,0.968982110253571
113,5214,7751,0.9596150503686427,0.9198283289588887
114,4507,5406,0.9595742497002313,0.9312603634513711
115,6178,7181,0.9594257097204424,0.9430647093452833
116,5803,7202,0.9593715535587446,0.9014921357906917
117,8242,9072,0.9592937274470451,0.9092298888725322
118,7167,7211,0.9592740627849053,0.9179424605615732
119,7846,8242,0.9590447162405072,0.9182865708439011
120,1820,3099,0.9590347403123964,0.9302278760029404
121,5803,5991,0.9590050660807766,0.9402069958378902
122,5019,7186,0.9587420426590982,0.9058653823926628
123,5803,7259,0.9587145943140816,0.9368089782574719
124,7186,8750,0.9586210648280107,0.9439985078791987
125,5393,6305,0.9583648389537572,0.9353160438149603
126,7186,8359,0.9583469982739311,0.9080086957236114
127,1833,5703,0.9583355547283812,0.9202048553851835
128,5401,9064,0.9582043768077549,0.9071823514382291
129,5019,8750,0.9581651986765446,0.9183530188878275
130,6752,9810,0.9580593905698674,0.9044494321472204
131,8341,8750,0.9579320506859784,0.9733057797583723
132,3291,5991,0.9576476236396443,0.90137666247333
133,6752,7211,0.9575087005710828,0.9447157595061475
134,4507,8377,0.9571698488334494,0.9166781065315325
135,5019,6472,0.9570047421911847,0.92390141413464
136,1333,5401,0.9565522997685102,0.9262322900135815
137,6472,6473,0.9564848762247564,0.9473287610237114
138,7202,7267,0.9564411307675118,0.9200546469251689
139,1963,4182,0.9564009696575846,0.9084503100530019
140,4182,6995,0.9563211214105344,0.9315885854403839
141,7211,8309,0.9562568899068631,0.9143842039460064
142,5020,8795,0.956211929369892,0.9674521581913516
143,7327,7846,0.9560646647824907,0.9002844095088407
144,5401,8377,0.9560588162921915,0.9095120568012205
145,6752,7182,0.9559467374170223,0.902193450447898
146,7186,8308,0.9557779400551611,0.9468029695771082
147,1333,5406,0.9557066712473935,0.9451100534706456
148,5802,7202,0.9555854803045203,0.9124070841434844
149,3405,4631,0.9554941058688003,0.9024477775677681
