,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,CORR_3M,CORR_1Y,OPEN_A,CLOSE_A,OPEN_B,CLOSE_B,SIGMA,ABS_SIGMA,DEV_RATE,AXIS_LOT_SIZE,PAIR_LOT_SIZE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times
714,5393,ニチアス,ガラス・土石製品,9401,東京放送ホールディングス,情報・通信業,0.9045847080238734,0.9009438268028188,1902.0,1917.0,1801.0,1753.0,2.1384606487887927,2.1384606487887927,5.24,500,500,8.56,-107085.0,-8924.0,-0.48,12,5,7,41.67
324,4182,三菱瓦斯化学,化学,7278,エクセディ,輸送用機器,0.9391791439229692,0.9741674957509644,1440.0,1434.0,2145.0,2119.0,2.1272735854828277,2.1272735854828277,4.95,600,400,1.51,168818.0,12986.0,0.71,13,6,7,46.15
338,1942,関電工,建設業,1959,九電工,建設業,0.9378644076006444,0.9666206358128444,990.0,981.0,3655.0,3635.0,-2.120856157093876,2.120856157093876,-3.12,700,200,5.54,17911.0,1791.0,-0.16,10,4,6,40.0
634,4676,フジ・メディア・ホールディングス,情報・通信業,5019,出光興産,石油・石炭製品,0.9126398804136224,0.9275955246715304,1426.0,1400.0,3210.0,3175.0,-2.1166467443136523,2.1166467443136523,-8.04,700,300,2.89,-71699.0,-3983.0,0.01,18,8,10,44.44
292,4182,三菱瓦斯化学,化学,7259,アイシン精機,輸送用機器,0.942248046296132,0.9366465668367088,1440.0,1434.0,3395.0,3415.0,2.101027241857386,2.101027241857386,5.5,500,200,4.98,304989.0,21785.0,1.3,14,10,4,71.43
472,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,7167,めぶきフィナンシャルグループ,銀行業,0.9261526200999006,0.9260096802376748,1327.0,1310.0,272.0,269.0,-2.063314854084205,2.063314854084205,-9.62,700,3400,0.26,-72875.0,-4049.0,-0.18,18,9,9,50.0
556,3148,クリエイトＳＤホールディングス,小売業,9810,日鉄物産,卸売業,0.9191589561620168,0.9066280035519836,2559.0,2516.0,4285.0,4260.0,2.0512940266723216,2.0512940266723216,3.34,300,200,11.41,72696.0,10385.0,0.74,7,5,2,71.43
737,7278,エクセディ,輸送用機器,8750,第一生命ホールディングス,保険業,0.901603052008756,0.9003839728238221,2145.0,2119.0,1633.5,1640.0,-2.0467106970312297,2.0467106970312297,-5.79,400,500,3.26,14326.0,1102.0,0.14,13,6,7,46.15
479,5406,神戸製鋼所,鉄鋼,7189,西日本フィナンシャルホールディングス,銀行業,0.925409494912818,0.9516387899225409,588.0,587.0,752.0,758.0,-2.043710824904332,2.043710824904332,-10.6,1700,1300,1.27,288697.0,12029.0,0.62,24,14,10,58.33
739,1860,戸田建設,建設業,4005,住友化学,化学,0.9015623391245859,0.9330278847387692,631.0,630.0,496.0,493.0,2.02106035227201,2.02106035227201,4.1,1500,1900,0.88,25090.0,1673.0,0.07,15,7,8,46.67
622,6988,日東電工,化学,7272,ヤマハ発動機,輸送用機器,0.9132256279878191,0.9576284383449204,5218.0,5203.0,1980.0,1972.0,-2.0174143344151987,2.0174143344151987,-5.17,100,300,13.7,59737.0,6637.0,0.26,9,5,4,55.56
319,7278,エクセディ,輸送用機器,7731,ニコン,精密機器,0.939509396140376,0.9346645391202212,2145.0,2119.0,1360.0,1359.0,2.016352103638741,2.016352103638741,5.3,400,600,3.8,141790.0,8862.0,0.56,16,9,7,56.25
106,3861,王子ホールディングス,パルプ・紙,5201,ＡＧＣ,ガラス・土石製品,0.9605489138695502,0.9106836176981744,520.0,513.0,3405.0,3380.0,-2.015491138261564,2.015491138261564,-5.87,1300,200,1.35,167052.0,8353.0,0.4,20,11,9,55.0
413,4208,宇部興産,化学,7272,ヤマハ発動機,輸送用機器,0.9310471672208048,0.9084102894573616,2197.0,2193.0,1980.0,1972.0,-2.007235751189268,2.007235751189268,-4.02,400,400,10.08,159424.0,19928.0,1.31,8,6,2,75.0
587,6752,パナソニック,電気機器,7731,ニコン,精密機器,0.916099261661558,0.9495262288218604,894.0,890.9,1360.0,1359.0,1.99579994721995,1.99579994721995,7.14,1100,700,3.02,-146694.0,-10478.0,-0.64,14,6,8,42.86
718,6770,アルプスアルパイン,電気機器,8601,大和証券グループ本社,証券、商品先物取引業,0.9044188477479248,0.9417309911916744,2047.0,2038.0,499.7,489.7,1.995419288502906,1.995419288502906,5.25,400,1700,2.12,149065.0,7846.0,0.43,19,11,8,57.89
102,5803,フジクラ,非鉄金属,7211,三菱自動車工業,輸送用機器,0.9609923543040984,0.9253115080250556,411.0,415.0,491.0,487.0,1.994019040730028,1.994019040730028,7.37,2300,2000,2.0,134490.0,8406.0,0.44,16,9,7,56.25
463,4202,ダイセル,化学,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,0.9270925768342914,0.9307357785894219,909.0,912.0,1327.0,1310.0,1.9928831030298515,1.9928831030298515,7.35,1000,700,0.55,36825.0,2302.0,0.15,16,9,7,56.25
518,5105,ＴＯＹＯ　ＴＩＲＥ,ゴム製品,8750,第一生命ホールディングス,保険業,0.9222228672913988,0.919396608919682,1425.0,1403.0,1633.5,1640.0,-1.9911002535960944,1.9911002535960944,-5.34,700,600,0.19,141556.0,10111.0,0.56,14,8,6,57.14
317,7182,ゆうちょ銀行,銀行業,8570,イオンフィナンシャルサービス,その他金融業,0.939530528957322,0.9296420473691088,1062.0,1057.0,1700.0,1631.0,1.9886601593641329,1.9886601593641329,3.36,900,600,2.79,244487.0,13583.0,0.73,18,12,6,66.67
262,7272,ヤマハ発動機,輸送用機器,8002,丸紅,卸売業,0.9448139714308816,0.9615303579781056,1980.0,1972.0,736.0,727.9,1.9786656771834799,1.9786656771834799,3.27,500,1400,3.35,61150.0,3397.0,0.18,18,10,8,55.56
721,4182,三菱瓦斯化学,化学,4676,フジ・メディア・ホールディングス,情報・通信業,0.9038523511192592,0.9062412508157492,1440.0,1434.0,1426.0,1400.0,1.9718947907047697,1.9718947907047697,7.08,600,600,2.37,-145142.0,-7257.0,-0.38,20,10,10,50.0
189,7182,ゆうちょ銀行,銀行業,8309,三井住友トラスト・ホールディングス,銀行業,0.9509191334860037,0.9065933431736856,1062.0,1057.0,3930.0,3932.0,-1.969514047687534,1.969514047687534,-3.87,700,200,5.91,-125293.0,-6961.0,-0.38,18,9,9,50.0
425,6471,日本精工,機械,6995,東海理化電機製作所,輸送用機器,0.9301999692158032,0.9364290904509228,922.0,921.0,1893.0,1860.0,-1.9654222334724896,1.9654222334724896,-5.32,1000,500,0.97,-78528.0,-4363.0,-0.29,18,11,7,61.11
99,4114,日本触媒,化学,5201,ＡＧＣ,ガラス・土石製品,0.9613934041742264,0.9035851801903696,6310.0,6220.0,3405.0,3380.0,-1.9550013129462285,1.9550013129462285,-5.63,100,200,8.68,-38419.0,-4269.0,-0.35,9,4,5,44.44
738,4523,エーザイ,医薬品,7189,西日本フィナンシャルホールディングス,銀行業,0.9015823283362068,0.9130033148553708,5600.0,5493.0,752.0,758.0,-1.940144517193148,1.940144517193148,-8.12,100,700,3.4,-119089.0,-10826.0,-0.57,11,6,5,54.55
482,2768,双日,卸売業,7202,いすゞ自動車,輸送用機器,0.9252633237249048,0.9469740644182012,340.0,337.0,1237.5,1226.0,-1.9391721137436424,1.9391721137436424,-3.99,2900,800,0.36,105269.0,5848.0,0.32,18,10,8,55.56
532,5471,大同特殊鋼,鉄鋼,7313,テイ・エス　テック,輸送用機器,0.9210488262151262,0.9143089067387205,4245.0,4260.0,3335.0,3310.0,-1.9297395672234088,1.9297395672234088,-5.87,200,300,16.55,189040.0,27006.0,2.02,7,5,2,71.43
491,6988,日東電工,化学,6995,東海理化電機製作所,輸送用機器,0.9246199722789014,0.9043662143195862,5218.0,5203.0,1893.0,1860.0,-1.928905447390228,1.928905447390228,-5.38,100,300,7.25,-54353.0,-5435.0,-0.3,10,6,4,60.0
212,5803,フジクラ,非鉄金属,9810,日鉄物産,卸売業,0.9488445026338296,0.9036231587024144,411.0,415.0,4285.0,4260.0,1.916303780844114,1.916303780844114,9.14,2100,200,2.29,125651.0,7391.0,0.47,17,9,8,52.94
547,4530,久光製薬,医薬品,8276,平和堂,小売業,0.9201354744066284,0.9575930968331032,4865.0,4765.0,2080.0,2051.0,1.9063392661295784,1.9063392661295784,4.77,200,500,7.61,91854.0,8350.0,0.37,11,5,6,45.45
500,6371,椿本チエイン,機械,7272,ヤマハ発動機,輸送用機器,0.9240250926642876,0.959666210776096,3520.0,3460.0,1980.0,1972.0,-1.903579859814564,1.903579859814564,-4.47,200,400,13.99,-47588.0,-5288.0,-0.25,9,5,4,55.56
460,1820,西松建設,建設業,7201,日産自動車,輸送用機器,0.9273541507673772,0.968156442916907,2003.0,2005.0,693.3,685.9,1.893619485717364,1.893619485717364,4.73,400,1200,2.63,178232.0,9902.0,0.58,18,10,8,55.56
414,6471,日本精工,機械,7272,ヤマハ発動機,輸送用機器,0.9308968585681252,0.9376519596075144,922.0,921.0,1980.0,1972.0,-1.88305405156483,1.88305405156483,-5.11,1100,500,2.75,-147295.0,-8183.0,-0.47,18,7,11,38.89
200,8377,ほくほくフィナンシャルグループ,銀行業,9404,日本テレビホールディングス,情報・通信業,0.949805386252252,0.9218967110971542,1054.0,1053.0,1428.0,1400.0,1.8681375673288012,1.8681375673288012,5.61,900,700,3.3,76830.0,4802.0,0.24,16,8,8,50.0
512,7182,ゆうちょ銀行,銀行業,7201,日産自動車,輸送用機器,0.9229574115346932,0.9791341092311764,1062.0,1057.0,693.3,685.9,1.8609238946806488,1.8609238946806488,4.96,900,1400,0.94,75332.0,5795.0,0.33,13,7,6,53.85
199,6301,小松製作所,機械,9810,日鉄物産,卸売業,0.9498443790211946,0.927936360826258,2487.0,2491.0,4285.0,4260.0,1.8582628506801624,1.8582628506801624,3.09,300,200,12.29,100004.0,11112.0,0.72,9,5,4,55.56
393,7186,コンコルディア・フィナンシャルグループ,銀行業,7211,三菱自動車工業,輸送用機器,0.9331854363085266,0.9159950090704384,419.0,418.0,491.0,487.0,1.8506896037581573,1.8506896037581573,4.89,2300,2000,1.29,83508.0,5219.0,0.28,16,7,9,43.75
733,7278,エクセディ,輸送用機器,8341,七十七銀行,銀行業,0.901900464488148,0.9039722366648416,2145.0,2119.0,1659.0,1618.0,-1.849008697816516,1.849008697816516,-7.01,400,500,4.55,-60267.0,-5022.0,-0.23,12,4,8,33.33
710,4004,昭和電工,化学,5301,東海カーボン,ガラス・土石製品,0.9048076021938312,0.9723329893076332,2882.0,2867.0,1099.0,1100.0,-1.840616816718177,1.840616816718177,-5.04,300,800,2.31,139549.0,9968.0,0.75,14,11,3,78.57
