DATE,OPEN,HIGH,LOW,CLOSE,Volume
2019-06-12,21130.39,21259.7,21118.75,21129.72,582359
2019-06-11,21099.54,21227.18,21066.62,21204.28,536723
2019-06-10,21095.4,21166.12,21077.95,21134.42,599682
2019-06-07,20859.78,20907.77,20816.58,20884.71,522701
2019-06-06,20745.84,20842.28,20745.84,20774.04,614233
2019-06-05,20667.89,20800.64,20646.15,20776.1,744705
2019-06-04,20435.86,20464.57,20289.64,20408.54,713002
2019-06-03,20327.87,20438.03,20305.74,20410.88,695247
2019-05-31,20785.21,20823.1,20581.58,20601.19,814511
2019-05-30,20881.5,20942.53,20809.29,20942.53,604989
2019-05-29,21055.42,21071.73,20884.61,21003.37,721553
2019-05-28,21187.17,21297.7,21177.27,21260.14,1015380
2019-05-27,21148.46,21232.38,21113.76,21182.58,429014
2019-05-24,20980.79,21117.22,20922,21117.22,698305
2019-05-23,21180.24,21209.56,21072.72,21151.14,658642
2019-05-22,21373.52,21404.54,21266.98,21283.37,665378
2019-05-21,21211.26,21318.8,21160.43,21272.45,723213
2019-05-20,21305.97,21430.06,21282.65,21301.73,671329
2019-05-17,21246.86,21398.85,21199.98,21250.09,780727
2019-05-16,21153.2,21153.2,20951.67,21062.98,849618
2019-05-15,21112.85,21191.53,20968.08,21188.56,866632
2019-05-14,20870.77,21077.48,20751.45,21067.23,929619
2019-05-13,21180.74,21277.66,21127.93,21191.28,768210
2019-05-10,21431.81,21584.09,21175.33,21344.92,1015411
2019-05-09,21492.91,21559.76,21315.07,21402.13,999105
2019-05-08,21628.04,21639.12,21514.85,21602.59,884456
2019-05-07,22184.4,22190.49,21875.11,21923.72,934907
2019-04-26,22167.48,22270.29,22073.1,22258.73,740804
2019-04-25,22183.32,22334.69,22155.23,22307.58,652748
2019-04-24,22356.83,22362.92,22125.48,22200,700356
2019-04-23,22241.74,22268.37,22119.94,22259.74,535787
2019-04-22,22188.62,22280.19,22099.38,22217.9,441686
2019-04-19,22238.07,22250.37,22162.23,22200.56,498206
2019-04-18,22274.13,22305.63,22058.39,22090.12,693545
2019-04-17,22236.41,22345.19,22185.87,22277.97,776597
2019-04-16,22108.15,22261.33,22095.32,22221.66,590946
2019-04-15,22122.97,22211.03,22102.93,22169.11,681426
