DATE,OPEN_8316,CLOSE_8316,OPEN_8385,CLOSE_8385,saya_divide,saya_divide_mean,saya_divide_std,saya_divide_sigma,deviation_rate(%),CORR_3M,COINT_3M,CORR_1Y,COINT_1Y
2019-06-28,3827.0,3806.0,545.0,544.0,6.9963235294117645,6.618423036775145,0.14075992976318746,2.684716405246822,5.4,0.9196390463513968,0.02613155221006435,0.9101817188749592,0.3826820789597997
2019-06-27,3784.0,3804.0,544.0,551.0,6.903811252268603,6.610047619083953,0.1366533310058801,2.149699762327853,4.26,0.9216651381699694,0.03284260949556083,0.9089832632757492,0.4144765321705854
2019-06-26,3758.0,3757.0,544.0,540.0,6.957407407407407,6.603545189483812,0.13409927628226476,2.6388078126443624,5.09,0.9179019261820917,0.08821895657139384,0.9074617815059199,0.4503006361596463
2019-06-25,3749.0,3752.0,545.0,543.0,6.9097605893186005,6.596401728305887,0.1292407159130689,2.4246140916109438,4.54,0.9167640232505774,0.06534259483245461,0.9055217759785236,0.4960966179554643
2019-06-24,3737.0,3759.0,551.0,549.0,6.8469945355191255,6.589394845421511,0.1262733508853884,2.0400162686062244,3.76,0.915098845037861,0.03860716822317423,0.903413842857868,0.5069879211725017
2019-06-21,3752.0,3754.0,557.0,549.0,6.837887067395264,6.5837041908111145,0.12413508814134723,2.0476311765672763,3.72,0.9151868868268264,0.0489490193319526,0.9009426161941759,0.4429327792590396
2019-06-20,3780.0,3775.0,564.0,557.0,6.77737881508079,6.579199029912511,0.12091811164564097,1.6389586511990792,2.92,0.9133122257664208,0.05416151091033263,0.898995600869565,0.4996507832853096
2019-06-19,3795.0,3800.0,558.0,562.0,6.761565836298932,6.57527226071959,0.11918817634153821,1.563020605714372,2.76,0.9150846386613172,0.03968451890277334,0.8977205739529897,0.4691006905603491
2019-06-18,3766.0,3761.0,567.0,558.0,6.740143369175628,6.571032028063561,0.11813743511003823,1.4314797079735913,2.51,0.9142560536796224,0.042460519971987486,0.8969762769527949,0.2841722888002208
2019-06-17,3748.0,3766.0,567.0,563.0,6.6891651865008885,6.568495692033745,0.1165102966827694,1.0356981134096523,1.8,0.9106298133772248,0.05460613142142489,0.8958177328658491,0.3727486412562971
2019-06-14,3771.0,3776.0,568.0,570.0,6.624561403508772,6.5661781206725385,0.11581361337540344,0.5041141635654475,0.88,0.9090383242925976,0.22775908364668884,0.8950018844647425,0.3700343714240997
2019-06-13,3774.0,3771.0,573.0,568.0,6.639084507042254,6.564335386496274,0.11596940469771048,0.6445589743331309,1.13,0.9056727174440696,0.044934646861537655,0.8945485396073373,0.3458225721118402
